School,Exam Software
Yale University,Electronic Blue Book
Stanford University,Canvas
Harvard University,Exam4
Columbia University,Examplify
University of Chicago,Exam4
New York University,Exam4
University of Pennsylvania (Carey),Other: Takeaway
University of Virginia,Other: Custom System
Northwestern University (Pritzker),Canvas
University of California--Berkeley,Other: Custom System
University of Michigan--Ann Arbor,Electronic Blue Book
Duke University,Electronic Blue Book
Cornell University,Exam4
Georgetown University,Exam4
University of California--Los Angeles,MyLaw & CCLE
University of Texas--Austin,Exam4
Washington University in St. Louis,Exam4
University of Southern California (Gould),Examplify
Vanderbilt University,Exam4
Boston University,Examplify
University of Minnesota,Examplify
University of Notre Dame,Electronic Blue Book
George Washington University,MyLaw
Arizona State University (O'Connor),Examplify
Emory University,Electronic Blue Book
University of Florida (Levin),Examplify
Fordham University,Exam4
University of California--Irvine,Examplify
University of Iowa,Examplify
University of North Carolina--Chapel Hill,Examplify
Boston College,Examplify
University of Alabama,Examplify
University of Georgia,Examplify
University of Illinois--Urbana-Champaign,Examplify
Washington and Lee University,Canvas
William & Mary Law School,MyLaw
Brigham Young University (Clark),Examplify
Indiana University--Bloomington (Maurer),Examplify
Ohio State University (Moritz),Exam4
University of California--Davis,Examplify
University of Wisconsin--Madison,Exam4
George Mason University,Examplify
University of Washington,Examplify
Wake Forest University,Examplify
University of Utah (Quinney),Examplify
University of Colorado--Boulder,Exam4
Pepperdine University (Caruso),Examplify
University of Arizona (Rogers),Exam4
University of Maryland (Carey),Exam4
Baylor University,Exam4
Florida State University,Examplify
University of Connecticut,Exam4
Yeshiva University (Cardozo),Examplify
Tulane University,Examplify
University of Richmond,Exam4
Southern Methodist University (Dedman),Examplify
Temple University (Beasley),Examplify
University of Houston,Electronic Blue Book
University of California (Hastings),Examplify
Pennsylvania State University--University Park,Exam4
Texas A&M University,Electronic Blue Book
Loyola Marymount University,Examplify
Pennsylvania State University--Carlisle (Dickinson),Exam4
Seton Hall University,Examplify
University of Nevada--Las Vegas,Examplify
Villanova University,Exam4
Northeastern University,Examplify
University of Miami,Exam4
University of Missouri,Exam4
Loyola University Chicago,Examplify
University of Kansas,Exam4
University of Kentucky,Examplify
University of Tennessee--Knoxville,Other: Custom System
St. John's University,Examplify
University of Denver (Sturm),Exam4
American University (Washington),Exam4
Case Western Reserve University,Exam4
Georgia State University,Electronic Blue Book
"Rutgers, The State University of New Jersey",Exam4
University of Nebraska--Lincoln,Exam4
University of Oklahoma,Examplify
University of Pittsburgh,Examplify
Brooklyn Law School,Exam4
Illinois Institute of Technology (Chicago-Kent),Examplify
University of Cincinnati,Exam4
University of San Diego,Examplify
Wayne State University,Electronic Blue Book
University of New Hampshire,Electronic Blue Book
University of Oregon,Canvas
Florida International University,Examplify
Saint Louis University,Exam4
University of Arkansas--Fayetteville,Examplify
Drexel University (Kline),Exam4
Lewis & Clark College (Northwestern),Examplify
Michigan State University,Examplify
Louisiana State University--Baton Rouge (Hebert),Exam4
University of Hawaii--Manoa (Richardson),Examplify
University of South Carolina,Examplify
University at Buffalo--SUNY,Examplify
University of Louisville (Brandeis),Exam4
University of New Mexico,Exam4
Cleveland State University (Cleveland-Marshall),Exam4
Hofstra University (Deane),Examplify
Marquette University,Examplify
Drake University,Examplify
Stetson University,Examplify
CUNY,Examplify
Howard University,Exam4
Santa Clara University,Examplify
Washburn University,Examplify
Chapman University (Fowler),Examplify
Syracuse University,Examplify
Texas Tech University,Examplify
The Catholic University of America (Columbus),Examplify
University of Mississippi,Exam4
University of Tulsa,Examplify
West Virginia University,Examplify
Albany Law School,Examplify
DePaul University,Exam4
Gonzaga University,Examplify
University of St. Thomas,Exam4
Indiana University--Indianapolis (McKinney),Exam4
Quinnipiac University,Examplify
University of Maine,Exam4
University of Montana,Examplify
Loyola University New Orleans,Exam4
Mercer University (Georgia),Electronic Blue Book
University of Baltimore,Examplify
Belmont University,Exam4
Duquesne University,Examplify
New York Law School,Examplify
Seattle University,Examplify
Creighton University,Examplify
University of Missouri--Kansas City,Exam360
University of Wyoming,Examplify
Pace University (Haub),Exam4
Suffolk University,Examplify
University of Idaho,Examplify
University of Toledo,Exam4
University of Illinois--Chicago (John Marshall),Examplify
Mitchell Hamline School of Law,Examplify
University of Akron,Examplify
University of Dayton,Examplify
University of Memphis (Humphreys),Exam4
University of South Dakota,Other: D2L
Vermont Law School,Examplify
Willamette University College of Law,Examplify
Appalachian School of Law,Unable to determine.
Atlanta's John Marshall Law School,Examplify
Ave Maria School of Law,Electronic Blue Book
Barry University,Examplify
California Western School of Law,Examplify
Campbell University,Unable to determine.
Capital University,Examplify
Charleston School of Law,Examplify
Concordia University,School closed.
Elon University,Examplify
Faulkner University (Jones),Examplify
Florida A&M University,Examplify
Florida Coastal School of Law,Examplify
Golden Gate University,Examplify
Liberty University,Exam4
Lincoln Memorial University,Examplify
Mississippi College,Electronic Blue Book
New England Law Boston,Examplify
North Carolina Central University,Examplify
Northern Illinois University,Examplify
Northern Kentucky University (Chase),Examplify
Nova Southeastern University (Broad),Examplify
Ohio Northern University (Pettit),Exam4
Oklahoma City University,Examplify
Regent University,Examplify
Roger Williams University,Examplify
Samford University (Cumberland),Exam4
Southern Illinois University--Carbondale,Examplify
Southern University Law Center,Exam4
South Texas College of Law Houston,Examplify
Southwestern Law School,Examplify
St. Mary's University,Examplify
St. Thomas University,Exam4
